time,lat,lon,msl
2024-10-03 06:00:00,19.531609732026208,-44.71875,97472.875
2024-10-03 09:00:00,20.093670428465817,-45.0,97191.25
2024-10-03 12:00:00,20.093670428465817,-45.28125,97071.875
2024-10-03 15:00:00,20.655731123511657,-45.84375,97029.4375
2024-10-03 18:00:00,20.936761470495384,-46.22222222222223,96885.25
2024-10-03 21:00:00,21.217791817110673,-46.51851851851853,96751.5625
2024-10-04 00:00:00,21.217791817110673,-46.81481481481484,96936.25
2024-10-04 03:00:00,21.49882216335069,-47.111111111111086,96899.0625
2024-10-04 06:00:00,22.06088285467707,-47.40740740740739,96716.25
2024-10-04 09:00:00,22.341913199749307,-47.703703703703695,96563.0
2024-10-04 12:00:00,22.622943544417993,-48.0,96677.9375
2024-10-04 15:00:00,22.903973888675825,-48.30000000000001,96599.1875
2024-10-04 18:00:00,23.46603457592919,-48.60000000000002,96277.625
2024-10-04 21:00:00,23.747064918909608,-48.89999999999998,96294.25
2024-10-05 00:00:00,24.028095261448925,-49.19999999999999,96213.8125
2024-10-05 03:00:00,24.309125603539318,-49.5,96005.8125
2024-10-05 06:00:00,24.871186286341437,-49.5,95755.1875
2024-10-05 09:00:00,25.433246967251048,-49.80000000000001,95653.375
2024-10-05 12:00:00,25.995307646201294,-49.80000000000001,95649.0625
2024-10-05 15:00:00,26.557368323123313,-50.10000000000002,95436.8125
2024-10-05 18:00:00,27.400459334547534,-50.10000000000002,95095.6875
2024-10-05 21:00:00,28.243550340998926,-50.0,94919.1875
2024-10-06 00:00:00,28.805611009075395,-49.6875,94925.5
2024-10-06 03:00:00,29.929732337925568,-49.6875,94775.125
2024-10-06 06:00:00,30.772823327838502,-49.27999999999997,94551.625
2024-10-06 09:00:00,31.615914311651938,-48.95999999999998,94506.9375
2024-10-06 12:00:00,32.74003561336056,-48.31999999999999,94453.9375
2024-10-06 15:00:00,33.86415690284984,-47.68000000000001,94328.4375
2024-10-06 18:00:00,34.98827817925277,-46.666666666666686,94106.3125
2024-10-06 21:00:00,36.112399441634714,-45.666666666666686,93991.125
2024-10-07 00:00:00,36.95549037861555,-44.666666666666686,93865.0625
2024-10-07 03:00:00,38.079611613981385,-43.666666666666686,93538.6875
2024-10-07 06:00:00,38.92270252941418,-42.1875,93514.6875
2024-10-07 09:00:00,39.76579343475757,-40.78125,93358.625
2024-10-07 12:00:00,40.60888432945018,-39.24000000000001,93618.5625
2024-10-07 15:00:00,41.17094491970063,-37.80000000000001,93669.8125
2024-10-07 18:00:00,42.01403579529062,-36.0,93670.1875
2024-10-07 21:00:00,42.57609637220426,-34.074074074074076,93935.4375
2024-10-08 00:00:00,42.85712665853937,-32.25,94156.4375
2024-10-08 03:00:00,43.138156943424015,-30.375,94318.0625
2024-10-08 06:00:00,43.41918722683038,-28.125,94450.125
2024-10-08 09:00:00,43.41918722683038,-25.875,94687.125
2024-10-08 12:00:00,43.41918722683038,-23.25,94940.5625
2024-10-08 15:00:00,43.70021750873003,-20.625,94923.875
2024-10-08 18:00:00,43.98124778909381,-18.375,95016.625
2024-10-08 21:00:00,43.98124778909381,-15.375,95116.0
2024-10-09 00:00:00,44.26227806789189,-12.75,95075.6875
2024-10-09 03:00:00,44.824338620668016,-10.5,95024.4375
2024-10-09 06:00:00,45.386399166804864,-7.5,95023.4375
