time,lat,lon,msl
2024-10-03 06:00:00,19.531609732026208,-44.71875,97472.875
2024-10-03 09:00:00,20.093670428465817,-45.0,97250.625
2024-10-03 12:00:00,20.093670428465817,-45.5625,97297.0
2024-10-03 15:00:00,20.655731123511657,-45.84375,97510.4375
2024-10-03 18:00:00,20.936761470495384,-46.22222222222223,97381.4375
2024-10-03 21:00:00,21.217791817110673,-46.51851851851853,97438.1875
2024-10-04 00:00:00,21.49882216335069,-46.81481481481484,97623.3125
2024-10-04 03:00:00,21.779852509208496,-47.111111111111086,97603.8125
2024-10-04 06:00:00,22.06088285467707,-47.40740740740739,97549.9375
2024-10-04 09:00:00,22.341913199749307,-47.703703703703695,97647.9375
2024-10-04 12:00:00,22.903973888675825,-48.0,97892.6875
2024-10-04 15:00:00,23.18500423251539,-48.60000000000002,97999.3125
2024-10-04 18:00:00,23.747064918909608,-48.89999999999998,97765.5625
2024-10-04 21:00:00,24.309125603539318,-49.19999999999999,97679.8125
2024-10-05 00:00:00,24.59015594517284,-49.19999999999999,97554.9375
2024-10-05 03:00:00,25.152216627036935,-49.5,97342.875
2024-10-05 06:00:00,25.714277306975344,-49.80000000000001,97146.125
2024-10-05 09:00:00,26.276337984920218,-49.80000000000001,97168.1875
2024-10-05 12:00:00,26.838398660801648,-49.80000000000001,97348.0
2024-10-05 15:00:00,27.68148967059651,-50.10000000000002,97253.5625
2024-10-05 18:00:00,28.524580675332878,-49.6875,96965.3125
2024-10-05 21:00:00,29.367671674745356,-49.6875,96877.625
2024-10-06 00:00:00,29.929732337925568,-49.375,96876.375
2024-10-06 03:00:00,31.053853656469464,-49.27999999999997,96709.8125
2024-10-06 06:00:00,31.615914311651938,-48.95999999999998,96581.0625
2024-10-06 09:00:00,32.45900528904648,-48.639999999999986,96546.125
2024-10-06 12:00:00,33.3020962596853,-48.0,96743.9375
2024-10-06 15:00:00,34.145187223212716,-47.68000000000001,96694.75
2024-10-06 18:00:00,34.98827817925277,-47.0,96619.0625
2024-10-06 21:00:00,35.831369127407555,-46.0,96793.3125
2024-10-07 00:00:00,36.67446006725543,-45.0,96793.5625
2024-10-07 03:00:00,37.51755099834911,-44.333333333333314,96664.4375
2024-10-07 06:00:00,38.079611613981385,-43.0,96616.75
2024-10-07 09:00:00,39.20373283234334,-42.1875,96455.1875
2024-10-07 12:00:00,39.76579343475757,-41.1328125,96512.1875
2024-10-07 15:00:00,40.60888432945018,-39.24000000000001,96565.9375
2024-10-07 18:00:00,41.45197521289295,-38.160000000000025,96415.5
2024-10-07 21:00:00,42.01403579529062,-36.72000000000003,96443.375
2024-10-08 00:00:00,42.57609637220426,-35.18518518518516,96666.5
2024-10-08 03:00:00,43.138156943424015,-33.375,96729.9375
2024-10-08 06:00:00,43.70021750873003,-32.25,96838.3125
2024-10-08 09:00:00,43.98124778909381,-30.375,97135.1875
2024-10-08 12:00:00,44.26227806789189,-28.875,97386.0625
2024-10-08 15:00:00,44.54330834509373,-27.0,97482.6875
2024-10-08 18:00:00,44.54330834509373,-25.125,97601.8125
2024-10-08 21:00:00,44.54330834509373,-22.875,97909.8125
2024-10-09 00:00:00,44.26227806789189,-20.625,98174.0625
2024-10-09 03:00:00,44.26227806789189,-18.0,98276.8125
2024-10-09 06:00:00,44.26227806789189,-15.375,98384.4375
