time,lat,lon,ux,uy,r17_forward_km,r17_backward_km,r17_left_km,r17_right_km,r17_mean_km,r17_mean_quadrant_km,r34_forward_km,r34_backward_km,r34_left_km,r34_right_km,r34_mean_km,r34_mean_quadrant_km,r50_forward_km,r50_backward_km,r50_left_km,r50_right_km,r50_mean_km,r50_mean_quadrant_km
2024-10-03 06:00:00,19.531609732026208,-44.71875,-0.42889361274390736,0.9033550071524921,240.30001150630173,167.28118095145288,146.60490675250708,319.865250837651,168.7992913679769,218.51283751197815,,,,,,,,,,,,
2024-10-03 09:00:00,20.093670428465817,-45.0,-1.0,0.0,117.6122224559987,352.83666736799614,186.44789878393522,248.5971961919006,159.4208818696473,226.37349619995766,0.0,-0.0,,31.074649666626918,31.074649666626918,10.358216555542306,,,,,,
2024-10-03 12:00:00,20.093670428465817,-45.5625,-0.42765762043711086,0.9039407943455522,255.8080970554193,215.89486281257496,119.60379654044355,325.3967027037676,177.26553947600743,229.17586477805133,,,,,,,,,,,,
2024-10-03 15:00:00,20.655731123511657,-45.84375,-0.7853564480758516,0.6190438186959646,183.03589830613925,318.33928082605655,152.02546170900445,318.3802734038874,179.9600918336788,242.9452285612719,,,,,,,,,,,,
2024-10-03 18:00:00,20.936761470495384,-46.22222222222223,-0.7040299308497666,0.7101703010318532,154.0980822108108,279.19099250147616,120.7534533103524,306.28476702356267,165.90463359078217,215.08182376155048,,,,,,,,,,,,
2024-10-03 21:00:00,21.217791817110673,-46.51851851851853,-0.7033583898643335,0.7108354066923314,175.7438448712725,281.3066812639512,140.27507505754613,331.40093098869056,174.05027149736875,232.1816330453651,,,,,,,,,,,,
2024-10-04 00:00:00,21.49882216335069,-46.81481481481484,-0.702676385980235,0.7115095899464433,175.80107081879405,285.2103352343853,141.2478889565807,308.97122621478235,178.57458173694695,227.8076303061356,,,,,,,,,,,,
2024-10-04 03:00:00,21.779852509208496,-47.111111111111086,-0.7019838571485397,0.7121928561161356,174.79817308735176,326.8016736123678,140.00094345800343,374.10842285336,185.341325361745,253.92730325277074,,,,,,,,,,,,
2024-10-04 06:00:00,22.06088285467707,-47.40740740740739,-0.7012807403749179,0.7128852103804699,241.8011840379412,266.3967504448384,140.96734445858897,329.3324018872403,179.83368956390643,244.6244202071522,,,,,,,,,,,,
2024-10-04 09:00:00,22.341913199749307,-47.703703703703695,-0.4406501885031377,0.8976789021538544,265.1712739952868,220.13457414028056,150.62355086060018,373.82026690843117,193.38872012631614,252.43741647614968,,,,,,,,,,,,
2024-10-04 12:00:00,22.903973888675825,-48.0,-0.8926113680851712,0.45082695745165785,221.35278332182884,302.05350169313226,152.38549938167947,305.11343596776607,180.44876499803382,245.22630509110166,,,,,,,,,,,,
2024-10-04 15:00:00,23.18500423251539,-48.60000000000002,-0.4428716383193507,0.8965850277426755,305.8019819507982,248.06899688156938,137.6208078753319,399.1003424536261,198.3281950172072,272.64803229033146,,,,,,,,,,,,
2024-10-04 18:00:00,23.747064918909608,-48.89999999999998,-0.4413568885661225,0.8973316538021109,293.23533867740036,274.40548562159546,150.86511486098624,329.160250166356,187.55933375540477,261.9165473315845,,,,,,,,,,,,
2024-10-04 21:00:00,24.309125603539318,-49.19999999999999,0.0,1.0,248.59719047528068,248.597193712694,182.6102074699424,334.78538036156493,188.71813704820008,253.6474930048705,,,,,,,,,,,,
2024-10-05 00:00:00,24.59015594517284,-49.19999999999999,-0.439013352412852,0.8984805375762065,235.43463780755948,276.68623031077556,163.70622964996042,327.4124588356299,181.464597066159,250.80988915098132,,,,,,,,,,,,
2024-10-05 03:00:00,25.152216627036935,-49.5,-0.43740322501659584,0.8992654884654928,249.99979260016124,276.4447155445753,176.69797091987294,339.80379012702855,188.89412748451235,260.7365672979095,,,,,,,,,,,,
2024-10-05 06:00:00,25.714277306975344,-49.80000000000001,0.0,1.0,248.59718821118855,248.5971917426975,210.62130907060987,330.9763428252539,194.00754989646984,259.69800796243743,,,,,,,,,,,,
2024-10-05 09:00:00,26.276337984920218,-49.80000000000001,0.0,1.0,279.6718353729346,248.59719090511473,209.61618343118138,329.3968596775805,192.44556474266315,266.8205173467028,,,,,,,,,,,,
2024-10-05 12:00:00,26.838398660801648,-49.80000000000001,-0.30447018090062855,0.9525218679601737,252.29364846978055,329.9032473564669,208.1486843326793,353.6162306138913,198.39789961399404,285.9904526932045,,,,,,,,,,,,
2024-10-05 15:00:00,27.68148967059651,-50.10000000000002,0.39981384386746327,0.9165963616837696,305.7042289990816,204.21539391499658,172.80758260701032,414.51230642244263,211.3136325009864,274.3098779858828,,,,,,,,,,,,
2024-10-05 18:00:00,28.524580675332878,-49.6875,0.0,1.0,248.59718305815687,279.6718359231958,213.95308358228377,366.77671471248647,199.4495896320829,277.24970431903074,62.14929617997065,62.14929644157742,,61.12945245208108,75.00235724498737,61.80934835787639,,,,,,
2024-10-05 21:00:00,29.367671674745356,-49.6875,0.4384265713255094,0.8987670118310741,336.0388225005978,245.79342701516114,186.37565403499184,395.09458901604876,207.45780602536286,290.8256231416999,,29.274196800799082,,81.74370808555058,86.82748648848256,55.508952443174834,,,,,,
2024-10-06 00:00:00,29.929732337925568,-49.375,0.07353446427637059,0.9972926764814766,319.65967236022516,271.2884339173086,212.7508862941163,393.1501680568724,206.169448157549,299.2122901571306,67.19525511065619,,,66.14640330025686,74.13959740079385,66.67082920545653,,,,,,
2024-10-06 03:00:00,31.053853656469464,-49.27999999999997,0.440759829239047,0.8976250736967891,317.30203708860347,297.6849342124318,205.4468444582639,421.80805342317905,218.3252271737177,310.56046729561956,40.352133093181195,,,95.87519415538601,94.116296253942,68.1136636242836,,,,,,
2024-10-06 06:00:00,31.615914311651938,-48.95999999999998,0.30943286108081514,0.9509212924755345,322.26645675317326,289.3353800576094,211.5413740380679,413.46723151337216,218.41088370734766,309.1526105905557,87.25937023480859,40.325566009471274,,86.53965303634732,96.05681355454053,71.37486309354239,,,,,,
2024-10-06 09:00:00,32.45900528904648,-48.639999999999986,0.5419368475222678,0.8404192128322783,335.87520871556876,262.2474131001686,225.24163641985947,480.41462770822454,225.96850382591535,325.94472148595537,74.9832287584871,,,92.62272936024435,93.6414244871637,83.80297905936573,,,,,,
2024-10-06 12:00:00,33.3020962596853,-48.0,0.30422960595385984,0.9525987333925859,294.72049332230097,305.07444796507804,244.61778730792378,425.42223959834416,222.71918391330843,317.45874204841175,,,,,,,,,,,,
2024-10-06 15:00:00,34.145187223212716,-47.68000000000001,0.5577745669124985,0.8299924894272085,404.2994789320911,307.24972508788585,221.24614700916806,463.90321345075074,232.51001276921988,349.1746411199739,,,,,,,,,,,,
2024-10-06 18:00:00,34.98827817925277,-47.0,0.6993087908843951,0.7148197080325958,371.8958762547054,306.31427326958044,217.30773238267057,526.7539468326116,238.47548775455053,355.567957184892,,,,,,,,,,,,
2024-10-06 21:00:00,35.831369127407555,-46.0,0.6955616827794647,0.7184663843555935,366.9361202063767,310.87381531576943,220.87146294798845,418.45349067257104,245.01315298713465,329.2837222856764,,,,,,,,,,,,
2024-10-07 00:00:00,36.67446006725543,-45.0,0.538148295873379,0.8428501715302538,395.3394770994361,357.0682623233777,249.3390761134548,510.0444111533944,254.69655363469684,377.94780667241577,,,,,,,,,,,,
2024-10-07 03:00:00,37.51755099834911,-44.333333333333314,0.8843365645483053,0.46684991228755823,430.94874054468994,275.20994000213216,272.60601039459056,590.829580032296,270.342640862514,392.3985677434272,,,,,,,,,,,,
2024-10-07 06:00:00,38.079611613981385,-43.0,0.4970249127969073,0.8677362710289496,334.9366045140094,428.02506187042195,275.63157282618107,478.3950331803496,268.3567357790737,379.2470680977405,,,,,,,,,,,,
2024-10-07 09:00:00,39.20373283234334,-42.1875,0.8257299248301792,0.5640656798990226,390.7455708527021,309.4827506785544,265.9200749029874,553.5431912406032,280.36281676140317,379.9228969187118,,,,,,,,,,,,
2024-10-07 12:00:00,39.76579343475757,-41.1328125,0.8666872517900341,0.49885188942674963,443.25981812897,293.48813047806607,328.1861974815618,512.2993472944625,284.585804885718,394.30837334576506,,,,,,,,,,,,
2024-10-07 15:00:00,40.60888432945018,-39.24000000000001,0.6995854623461307,0.7145489352549274,413.60062834191245,373.0047930682198,337.86602248116475,459.74740783893753,274.77844565483656,396.05471293255863,,,,,,,,,,,,
2024-10-07 18:00:00,41.45197521289295,-38.160000000000025,0.8882050078172858,0.4594473463720245,414.8026467691615,310.97333994772225,309.3573247602054,509.5898660397729,276.2800701216435,386.1807943792155,,,,,,,,,,,,
2024-10-07 21:00:00,42.01403579529062,-36.72000000000003,0.8981370386334646,0.43971565793670625,428.7528621899128,294.0838953942838,350.2736757469843,517.5610585273153,281.1378296712268,397.66787296462405,,,,,,,,,,,,
2024-10-08 00:00:00,42.57609637220426,-35.18518518518516,0.9223667721481522,0.38631533445748495,436.0538720093861,278.5277549556209,364.838505912058,502.3860205511985,281.5955569242266,395.4515383570659,,,,,,,,,,,,
2024-10-08 03:00:00,43.138156943424015,-33.375,0.8268946248768235,0.5623568967744749,383.9723159869631,357.7762298942375,380.8637309572189,461.447555346222,274.51428700336345,396.01495804616036,,,,,,,,,,,,
2024-10-08 06:00:00,43.70021750873003,-32.25,0.9794482779559064,0.20169549030459125,409.3491590503419,282.7172983627334,428.5389310231737,453.1160377535983,273.74767828981857,393.4303565474618,,,,,,,,,,,,
2024-10-08 09:00:00,43.98124778909381,-30.375,0.9681459186364795,0.2503866614409148,385.8399917217833,295.25943502036296,453.7788668734622,437.1319819363853,258.7467850786972,393.00256888799845,,,,,,,,,,,,
2024-10-08 12:00:00,44.26227806789189,-28.875,0.979067687294704,0.2035349200884212,317.99903778599753,275.86252866620447,348.45824080434755,425.9385031017481,248.6939108007288,342.06457758957436,,,,,,,,,,,,
2024-10-08 15:00:00,44.54330834509373,-27.0,1.0,0.0,349.68388066094917,267.772635506127,217.5224878553192,403.97035718222327,240.73206311836122,309.7373403011547,,,,,,,,,,,,
2024-10-08 18:00:00,44.54330834509373,-25.125,1.0,0.0,318.4621056019391,238.02012044989067,248.59712818251393,403.97035718222327,232.12642966768465,302.2624278541417,,,,,,,,,,,,
2024-10-08 21:00:00,44.54330834509373,-22.875,0.9851851555440407,-0.17149405032147397,325.25596682879996,245.1521216884427,214.29992603206938,395.332361932344,239.614818831348,295.010094120414,,,,,,,,,,,,
2024-10-09 00:00:00,44.26227806789189,-20.625,1.0,0.0,269.06203577763387,249.92873545566803,186.44784845616994,403.9703592344541,232.9687190653266,277.3522447309815,,,,,,,,,,,,
2024-10-09 03:00:00,44.26227806789189,-18.0,1.0,0.0,315.6994553124266,286.9995048294779,155.3732075210305,403.9703592344541,252.60779904647632,290.51063172434726,,,,,,,,,,,,
2024-10-09 06:00:00,44.26227806789189,-15.375,1.0,0.0,487.5596011827922,324.0702742032878,124.29856639120304,435.04500329617986,265.2899826810372,342.74336126836573,,,,,,,,,,,,
