time,lat,lon,ux,uy,r17_forward_km,r17_backward_km,r17_left_km,r17_right_km,r17_mean_km,r17_mean_quadrant_km,r34_forward_km,r34_backward_km,r34_left_km,r34_right_km,r34_mean_km,r34_mean_quadrant_km,r50_forward_km,r50_backward_km,r50_left_km,r50_right_km,r50_mean_km,r50_mean_quadrant_km
2024-10-03 06:00:00,19.531609732026208,-44.71875,-0.42889361274390736,0.9033550071524921,240.30001150630173,167.28118095145288,146.60490675250708,319.865250837651,168.7992913679769,218.51283751197815,,,,,,,,,,,,
2024-10-03 09:00:00,20.093670428465817,-45.0,-1.0,0.0,117.6122224559987,352.83666736799614,217.52254870543527,279.6718455232959,183.17218864937283,241.91082101318148,,,,,,,,,,,,
2024-10-03 12:00:00,20.093670428465817,-45.28125,-0.6872999786768962,0.726373691229754,206.88862622811033,234.11135729873212,149.5032424757959,349.19246384716996,184.55657289285423,234.92392246245208,,,,,,,,,,,,
2024-10-03 15:00:00,20.655731123511657,-45.84375,-0.7853564480758516,0.6190438186959646,183.03589830613925,310.79661873750484,140.15896781874142,351.2930023617663,196.24337172514046,246.32112180603795,,,,,,,,,,,,
2024-10-03 18:00:00,20.936761470495384,-46.22222222222223,-0.7040299308497666,0.7101703010318532,196.77028240825382,242.46105680336606,142.63093679345167,371.9172170179344,190.53617635896995,238.4448732557515,,,,,,,,,,,,
2024-10-03 21:00:00,21.217791817110673,-46.51851851851853,-1.0,0.0,153.73893334351476,399.7212266931266,186.44789787612956,310.74649305425794,197.4840215735517,262.6636377417572,,,,,,,,,,,,
2024-10-04 00:00:00,21.217791817110673,-46.81481481481484,-0.7033583898642654,0.710835406692399,263.7942825196771,328.14331451634223,182.87839994198265,441.2304231090943,224.9862414435856,304.0116050217741,,,,,,,,,,,,
2024-10-04 03:00:00,21.49882216335069,-47.111111111111086,-0.4427554224818065,0.8966424236355076,277.7711174090905,291.85203425768765,172.41082166859275,445.77441292132517,221.61675896691628,296.952096564174,,,,,,,,,,,,
2024-10-04 06:00:00,22.06088285467707,-47.40740740740739,-0.7012807403749179,0.7128852103804699,243.5906755563667,324.42113314395516,225.92230203681953,417.3178160978536,220.06611979264127,302.81298170874874,,,,,,,,,,,,
2024-10-04 09:00:00,22.341913199749307,-47.703703703703695,-0.7005669717161424,0.7135866577651755,263.153181887174,309.6721410925307,201.71148016777687,460.9770594114923,220.59443588885526,308.87846563974347,,,,,,,,,,,,
2024-10-04 12:00:00,22.622943544417993,-48.0,-0.7042651686429863,0.7099370199082916,286.7935680783449,302.6634395509373,221.58353120351944,437.6958616932783,227.4807049943585,312.18410013152,,,,,,,,,,,,
2024-10-04 15:00:00,22.903973888675825,-48.30000000000001,-0.44361477233001173,0.8962175705544896,347.84268090140256,311.2050472473078,220.56277499629718,427.3403761765951,229.2484155064222,326.7377198304007,,,,,,,,,,,,
2024-10-04 18:00:00,23.46603457592919,-48.60000000000002,-0.7020398887992729,0.7121376233107647,242.80057519009904,348.38145531764087,217.07911774775243,414.49722008580596,219.81514424420547,305.6895920853246,,,,,,,,,,,,
2024-10-04 21:00:00,23.747064918909608,-48.89999999999998,-0.7012763169427938,0.7128895617801891,284.4069267520507,368.5666763912101,260.157807437443,414.0463922552307,239.41951136555357,331.7944507089836,,64.31075038005868,,65.37574640487261,91.70529337197735,64.84324839246565,,,,,,
2024-10-05 00:00:00,24.028095261448925,-49.19999999999999,-0.7005017222921628,0.713650710828283,285.0551007391041,431.7025466581304,217.67845210729507,435.35690276587684,246.90030859587665,342.4482505676016,,,,,,,,,,,,
2024-10-05 03:00:00,24.309125603539318,-49.5,0.0,1.0,341.8211359725025,310.7464925954171,243.4802766265937,456.52551867486756,254.6733215903969,338.1433559673452,,,,,,,,,,,,
2024-10-05 06:00:00,24.871186286341437,-49.5,-0.4382130750259914,0.8988711258441139,357.58515188152626,424.3877417103257,258.72903165328285,490.22342755682104,260.7368028935885,382.73133820048895,,,,,,,,,,,,
2024-10-05 09:00:00,25.433246967251048,-49.80000000000001,0.0,1.0,403.97042961741096,372.89578938375485,271.4352135456031,512.7109589194662,268.0520943930701,390.25309786655873,0.0,-0.0,,90.47840451520867,90.47840451520867,30.159468171736222,,,,,,
2024-10-05 12:00:00,25.995307646201294,-49.80000000000001,-0.43491609886556765,0.9004709806248925,317.2872202020491,503.6252833435225,297.3270294598154,527.0797333391574,286.55918409094454,411.3298165861361,1.8717837375038577,11.18323407554982,,94.60405474848204,81.43149780457964,35.88635752051191,,,,,,
2024-10-05 15:00:00,26.557368323123313,-50.10000000000002,0.0,1.0,403.9704263517895,466.1197348119574,268.85063584892504,537.7012716978501,294.76955390414935,419.1605171776305,62.149297057857375,,,89.6168786163159,101.95494738180838,75.88308783708663,,,,,,
2024-10-05 18:00:00,27.400459334547534,-50.10000000000002,0.1054240380327558,0.9944273589382324,420.2653890538769,395.4677415017623,268.6332222901579,576.578623565283,288.63664801530257,415.23624410277,103.51434473630495,55.55145083059878,,92.13791922835665,104.47638832453896,83.73457159842012,,,,,,
2024-10-05 21:00:00,28.243550340998926,-50.0,0.44225617137201617,0.8968887773204467,490.8068261866136,368.5017518188338,313.0095397456481,577.2041082792095,305.1754040208512,437.3805565075763,68.530438632049,,,109.94363936144138,103.85599583120927,89.23703899674518,,,,,,
2024-10-06 00:00:00,28.805611009075395,-49.6875,0.0,1.0,466.11971319051776,497.1943772317462,304.82877266631795,579.1746680660041,308.9928862675331,461.8293827886465,31.07464805672552,62.14929631188753,,152.41438633315897,103.684441181536,81.87944356725734,,,,,,
2024-10-06 03:00:00,29.929732337925568,-49.6875,0.3885692710392101,0.9214195144471692,490.8231788914419,423.4982673804399,308.6073940906406,658.6982610567518,327.8845280135994,470.40677535481854,96.53308578760137,102.8164965313184,,163.04485724717856,117.41499343825643,120.79814652203277,,,,,,
2024-10-06 06:00:00,30.772823327838502,-49.27999999999997,0.31193377887407353,0.9501038456912699,540.0996614233023,466.3934937285781,339.26312706410755,581.5939329630974,329.3103998094187,481.83755379477134,107.66705405105522,82.08323694284265,,152.74413589703417,108.9487588204633,114.164808963644,,,,,,
2024-10-06 09:00:00,31.615914311651938,-48.95999999999998,0.43864137449094376,0.8986621971490153,570.3015914927638,481.73894899440535,340.7656481939099,674.2900316609123,350.1564591311065,516.7740550854978,137.00222913069186,85.08974564888592,,163.5675115354589,132.5172285753018,128.55316210501223,,,,,,
