time,lat,lon,msl
2024-10-03 06:00:00,19.531609732026208,-44.71875,97472.875
2024-10-03 09:00:00,19.812640080416976,-45.0,97291.9375
2024-10-03 12:00:00,20.374700776166243,-45.5625,97480.0625
2024-10-03 15:00:00,20.655731123511657,-45.84375,97776.75
2024-10-03 18:00:00,20.936761470495384,-46.22222222222223,97768.8125
2024-10-03 21:00:00,21.217791817110673,-46.51851851851853,98041.6875
2024-10-04 00:00:00,21.49882216335069,-47.111111111111086,98303.9375
2024-10-04 03:00:00,21.779852509208496,-47.40740740740739,98321.9375
2024-10-04 06:00:00,22.06088285467707,-47.703703703703695,98378.75
2024-10-04 09:00:00,22.622943544417993,-48.0,98567.0
2024-10-04 12:00:00,22.903973888675825,-48.30000000000001,98860.625
2024-10-04 15:00:00,23.46603457592919,-48.89999999999998,98869.0625
2024-10-04 18:00:00,24.028095261448925,-49.19999999999999,98668.4375
2024-10-04 21:00:00,24.59015594517284,-49.5,98688.4375
2024-10-05 00:00:00,24.871186286341437,-50.10000000000002,98854.6875
2024-10-05 03:00:00,25.152216627036935,-50.10000000000002,98814.25
2024-10-05 06:00:00,25.714277306975344,-50.39999999999998,98726.0
2024-10-05 09:00:00,26.276337984920218,-50.69999999999999,98741.5625
2024-10-05 12:00:00,26.838398660801648,-51.0,98765.4375
2024-10-05 15:00:00,27.68148967059651,-51.0,98649.4375
2024-10-05 18:00:00,28.524580675332878,-50.9375,98261.375
2024-10-05 21:00:00,29.367671674745356,-50.9375,98297.8125
2024-10-06 00:00:00,29.929732337925568,-50.9375,98371.875
2024-10-06 03:00:00,30.772823327838502,-50.879999999999995,98282.0
2024-10-06 06:00:00,31.615914311651938,-50.56,98399.4375
2024-10-06 09:00:00,32.45900528904648,-50.24000000000001,98597.25
2024-10-06 12:00:00,33.3020962596853,-49.920000000000016,98832.875
2024-10-06 15:00:00,34.42621754274384,-49.333333333333314,98939.0
2024-10-06 18:00:00,35.26930849620082,-48.666666666666686,98786.3125
2024-10-06 21:00:00,36.393429754922856,-47.666666666666686,98782.5
2024-10-07 00:00:00,37.51755099834911,-46.666666666666686,98757.9375
2024-10-07 03:00:00,38.64167222536426,-45.703125,98504.25
2024-10-07 06:00:00,39.76579343475757,-45.0,98302.75
2024-10-07 09:00:00,40.88991462521181,-43.920000000000016,98212.375
2024-10-07 12:00:00,42.01403579529062,-42.839999999999975,98218.25
2024-10-07 15:00:00,42.85712665853937,-42.0,98224.3125
2024-10-07 18:00:00,43.98124778909381,-41.25,98231.0
2024-10-07 21:00:00,44.824338620668016,-40.5,98314.4375
2024-10-08 00:00:00,45.66742943730089,-39.75,98333.9375
2024-10-08 03:00:00,46.51052023808231,-39.375,98280.4375
2024-10-08 06:00:00,47.35361102203147,-39.19999999999999,98181.5
2024-10-08 09:00:00,48.19670178808972,-39.60000000000002,98049.5
2024-10-08 12:00:00,49.03979253511243,-40.416666666666686,98003.6875
2024-10-08 15:00:00,49.32082277967856,-40.833333333333314,98014.125
2024-10-08 18:00:00,49.882883261860044,-41.25,98157.1875
2024-10-08 21:00:00,49.882883261860044,-41.666666666666686,98463.625
2024-10-09 00:00:00,49.882883261860044,-41.666666666666686,98786.875
2024-10-09 03:00:00,49.60185302194436,-41.666666666666686,99039.375
2024-10-09 06:00:00,49.03979253511243,-41.25,99350.125
